date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:09	109/109	---M-Z	200	added ('OK')	text/plain	etag:%226abe888e04b0a5dc50037cb0f3302527%22	https://bold-industry-368054.framer.app/robots.txt		(from )
00:50:10	713607/713607	---M-Z	200	added ('OK')	text/html	etag:%22a510ece2035af1daf132679f6e035f14%22	https://bold-industry-368054.framer.app/	C:/caniyon/caniyon/bold-industry-368054.framer.app/index.html	(from )
00:50:12	352276/352276	---M-Z	200	added ('OK')	text/html	etag:%2291496a46643d4f91531759f19002a888%22	https://bold-industry-368054.framer.app/contact	C:/caniyon/caniyon/bold-industry-368054.framer.app/contact.html	(from https://bold-industry-368054.framer.app/)
00:50:12	80227/80227	---MC-	200	added ('OK')	image/png	etag:%22e5873814cb15770786d323663857ff9e%22	https://framerusercontent.com/images/0qIsDZteeSIg87m7dCkA3YcIVo.png?width=1024&height=1024	C:/caniyon/caniyon/framerusercontent.com/images/0qIsDZteeSIg87m7dCkA3YcIVo90ee.png	(from https://bold-industry-368054.framer.app/)
00:50:13	272925/272925	---M-Z	200	added ('OK')	text/html	etag:%221c28431650a217ccef3ee9dfcc89ee11%22	https://bold-industry-368054.framer.app/projects/mathew-combany-branding	C:/caniyon/caniyon/bold-industry-368054.framer.app/projects/mathew-combany-branding.html	(from https://bold-industry-368054.framer.app/)
00:50:14	753193/753193	---MC-	200	added ('OK')	image/png	etag:%229236506b6ffe6b41a5df738661b0d6b7%22	https://framerusercontent.com/images/jJ7iXw4DvAMgulhCvEedvyNESw.png	C:/caniyon/caniyon/framerusercontent.com/images/jJ7iXw4DvAMgulhCvEedvyNESw.png	(from https://bold-industry-368054.framer.app/)
00:50:14	273020/273020	---M-Z	200	added ('OK')	text/html	etag:%227d574862c61a36578a56ae1e8c366451%22	https://bold-industry-368054.framer.app/projects/hinobe-agency-branding	C:/caniyon/caniyon/bold-industry-368054.framer.app/projects/hinobe-agency-branding.html	(from https://bold-industry-368054.framer.app/)
00:50:14	183653/183653	---MC-	200	added ('OK')	image/png	etag:%22b4419238eabfc329bfd0d37816331356%22	https://framerusercontent.com/images/yfzBZc6F0VBzvzZKKzd9FBXIRas.png	C:/caniyon/caniyon/framerusercontent.com/images/yfzBZc6F0VBzvzZKKzd9FBXIRas.png	(from https://bold-industry-368054.framer.app/)
00:50:17	273362/273362	---M-Z	200	added ('OK')	text/html	etag:%22b744aa8d511c00fad7b3f9eca16cc6f2%22	https://bold-industry-368054.framer.app/projects/krea-klock-branding	C:/caniyon/caniyon/bold-industry-368054.framer.app/projects/krea-klock-branding.html	(from https://bold-industry-368054.framer.app/)
00:50:17	537251/537251	---MC-	200	added ('OK')	image/png	etag:%22204b3c6712b2a7389bbe677333dd98e0%22	https://framerusercontent.com/images/JmP3L3tgMpB8WTmZMk2np846IE.png	C:/caniyon/caniyon/framerusercontent.com/images/JmP3L3tgMpB8WTmZMk2np846IE.png	(from https://bold-industry-368054.framer.app/)
00:50:18	452908/452908	---MC-	200	added ('OK')	image/png	etag:%2256e6a02e2534a1e1a1ee6c33f1c2cb5d%22	https://framerusercontent.com/images/EEcAA0V4RQNaUWUhzqV5FGyUZw.png?width=1536&height=1024	C:/caniyon/caniyon/framerusercontent.com/images/EEcAA0V4RQNaUWUhzqV5FGyUZwc65e.png	(from https://bold-industry-368054.framer.app/)
00:50:18	93879/93879	---MC-	200	added ('OK')	image/png	etag:%22c8616f28bddb78d38044c145bbac26f2%22	https://framerusercontent.com/images/CwlFIVIjFiPgnPQu3qP11bGdU.png?scale-down-to=512	C:/caniyon/caniyon/framerusercontent.com/images/CwlFIVIjFiPgnPQu3qP11bGdU17f5.png	(from https://bold-industry-368054.framer.app/)
00:50:18	11110/11110	---MC-	200	added ('OK')	image/png	etag:%22e84c3f82bbee36b681b04bef4432ee72%22	https://framerusercontent.com/images/MehyVjaLFfsqGQoYGoYN5ZHzFVY.png	C:/caniyon/caniyon/framerusercontent.com/images/MehyVjaLFfsqGQoYGoYN5ZHzFVY.png	(from https://bold-industry-368054.framer.app/)
00:50:18	138205/138205	---MC-	200	added ('OK')	image/png	etag:%225bae8d5cd98ac337d77d5a34d1c9b6a0%22	https://framerusercontent.com/images/thaHTbpN2t2znP1B0JjxtgLthwk.png	C:/caniyon/caniyon/framerusercontent.com/images/thaHTbpN2t2znP1B0JjxtgLthwk.png	(from https://bold-industry-368054.framer.app/)
00:50:18	111698/111698	---MC-	200	added ('OK')	image/png	etag:%222488bddfa271d0b15606b392b3448875%22	https://framerusercontent.com/images/3MMvee5wcDEXLHUoHrGEnWB1Pcw.png	C:/caniyon/caniyon/framerusercontent.com/images/3MMvee5wcDEXLHUoHrGEnWB1Pcw.png	(from https://bold-industry-368054.framer.app/)
00:50:18	47154/47154	---MC-	200	added ('OK')	image/png	etag:%22254d703896f3c72f4221b61fac540f93%22	https://framerusercontent.com/images/J6HxuzNl9j4msH8SwYL863BXXw.png?width=400&height=504	C:/caniyon/caniyon/framerusercontent.com/images/J6HxuzNl9j4msH8SwYL863BXXwef6d.png	(from https://bold-industry-368054.framer.app/)
00:50:19	41721/41721	---MC-	200	added ('OK')	image/png	etag:%22bfdee385c1f2e512c4d064e80ee4b4c0%22	https://framerusercontent.com/images/jHjL1rQ9pktWsplSgOv4YXK3y4.png?width=400&height=504	C:/caniyon/caniyon/framerusercontent.com/images/jHjL1rQ9pktWsplSgOv4YXK3y4ef6d.png	(from https://bold-industry-368054.framer.app/)
00:50:19	53386/53386	---MC-	200	added ('OK')	image/png	etag:%2280d3135bbf7f6f48dd2dbad289b30a61%22	https://framerusercontent.com/images/AKmU57sVJjrpPRn4zp5C3RBvQA.png?width=400&height=504	C:/caniyon/caniyon/framerusercontent.com/images/AKmU57sVJjrpPRn4zp5C3RBvQAef6d.png	(from https://bold-industry-368054.framer.app/)
